hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
Ah,As,9c,9s,6c,Jc,5h,0.844,0.842
As,Qs,3d,Qh,4h,8d,6h,0.6485,0.832
Jh,7c,6d,Td,Qd,7h,4h,0.5145,0.5745
Ah,Kc,Kd,Js,Qh,9d,5d,0.623,0.7075
3h,Ks,Jh,9h,Kc,Qh,3d,0.5085,0.773
Qd,Kh,4s,9s,2d,Ac,6c,0.622,0.36
6h,Jc,Th,4h,Js,Kd,Kc,0.465,0.8045
9h,4c,9d,4s,Qd,9s,4h,0.4095,0.966
Ac,7h,6h,Tc,Qc,3c,5d,0.593,0.3005
8s,5c,Kd,2c,6s,3s,3c,0.4145,0.035
7d,Jc,8d,8h,4c,Ks,Kh,0.479,0.4725
Jc,4s,Qs,Ah,4h,Kc,2d,0.4615,0.518
Jc,8c,Ts,9h,5s,Js,3d,0.5285,0.779
Ad,5s,2s,7c,Js,Td,4d,0.5625,0.324
Qc,7d,4c,3s,9d,6c,2d,0.5265,0.105
As,2s,7d,9s,6d,6h,Ac,0.5755,0.808
Jh,Jc,3h,7h,As,Ts,2s,0.7785,0.7545
8d,5d,2h,4d,Js,6s,7c,0.45,0.995
5s,Td,2d,Ks,9h,Ts,5h,0.4375,0.9415
2h,9h,5s,7s,2s,As,4h,0.446,0.186
2h,Td,Jd,Qs,9s,9h,5h,0.4095,0.266
8h,Td,8d,Jd,7c,7d,9d,0.4975,1.0
4d,8d,Tc,2h,Td,Qs,4c,0.422,0.6825
6h,8d,8c,As,9c,Jh,4c,0.4165,0.517
Kh,9d,3h,2s,Qc,8h,Jc,0.598,0.254
2d,9s,Jc,Qh,5h,5c,3s,0.375,0.1835
3h,9d,9c,8d,As,Ah,2c,0.41,0.821
As,Ac,Ts,5h,3c,Th,3d,0.8755,0.831
Jh,4c,Td,Qs,9s,2h,Qd,0.455,0.2605
8h,6c,8d,4c,4h,Qh,Ah,0.449,0.57
Ts,3h,7d,6d,2c,Jh,5s,0.412,0.042
6c,5s,2d,6h,6d,2c,8h,0.3855,0.9635
Jd,Qd,Th,3h,5h,Ks,2c,0.595,0.25
7h,Kd,9s,9d,4c,8s,Jc,0.573,0.304
2s,3c,8h,Js,2d,Ah,7h,0.3055,0.3895
Ts,4h,9d,3h,Td,Tc,Ad,0.443,0.901
3d,8d,Ah,9h,7h,7d,9c,0.377,0.309
As,Qs,4d,9s,Tc,Td,5d,0.657,0.475
5c,Ts,4s,7s,8c,Kc,Jc,0.437,0.134
6c,Ac,Ts,5d,8h,Qc,8c,0.5875,0.4615
Jh,4s,7d,9h,9s,9c,Qh,0.473,0.3685
Qd,Kc,9d,Js,6d,Jd,7d,0.6155,0.879
5c,4s,Ks,Qd,9d,Js,9c,0.3935,0.137
6c,4h,Qc,Ah,Kd,Qd,9s,0.359,0.151
Ah,Qs,3c,9s,9c,3h,5c,0.657,0.5775
Ah,Js,4h,As,Td,8h,Ts,0.646,0.8605
As,3h,4h,5s,Jd,Td,9d,0.558,0.237
6h,3s,5s,2s,Ad,6s,3d,0.36,0.742
2c,6d,Jc,6h,Jd,9d,7c,0.332,0.5605
4d,5c,9c,3c,Qc,Jh,5h,0.3945,0.479
Tc,4s,Ad,2s,8d,5c,6d,0.4585,0.054
3h,3d,9s,7h,Ad,Jc,Jh,0.5325,0.47
Kh,5h,3s,7s,9c,Js,Th,0.5325,0.155
4c,4d,9s,7c,4h,6s,Ts,0.546,0.756
7d,2h,Ac,9d,6s,2d,4h,0.343,0.429
8c,3c,Qs,9s,Tc,7h,Kd,0.423,0.185
7h,9d,7d,8d,Qc,Th,2d,0.474,0.511
8d,Td,6d,2s,6c,Qh,Jh,0.5165,0.246
Qc,Kd,Tc,6d,Jc,Qh,Td,0.602,0.8405
Tc,9h,8h,Ah,4d,Ks,As,0.4875,0.317
8s,Ad,Jh,Ts,Td,9h,2s,0.591,0.4425
8s,2d,Ac,9c,Qd,Qc,5s,0.4045,0.1385
Ad,7h,2c,6c,4c,Jc,Qs,0.5895,0.1615
7c,5h,Jd,6h,6c,Th,Ks,0.409,0.154
2s,Td,5d,4h,3d,Ac,2d,0.4335,0.405
2c,7h,Jc,Qd,2s,4s,Jh,0.3665,0.5945
7s,2h,8h,5c,9d,5s,Qc,0.342,0.056
Ks,Td,Ac,As,5s,Kc,5c,0.623,0.791
Jd,Qs,Td,5s,Jh,5c,Th,0.607,0.7935
7h,8c,5c,4c,8d,2c,4d,0.4535,0.76
As,4c,Qd,Td,3s,4s,6h,0.5745,0.567
Jd,2s,Td,Ks,Ad,Ts,4c,0.419,0.3865
Jc,3h,8s,Kc,Jh,8h,Th,0.4485,0.654
Kc,Ks,Qc,Ad,5c,7s,6h,0.8305,0.765
5c,6c,Kh,2s,Jh,Tc,Qd,0.429,0.048
Js,3d,Kh,4c,Qd,3h,6c,0.4425,0.4665
6d,Jh,4c,Qs,Ad,Ah,9h,0.5015,0.357
Td,Ks,As,Kd,2d,Jd,Tc,0.577,0.747
6h,8d,6s,7d,Jd,Ks,Ad,0.419,0.4195
7c,6s,9s,Td,3c,2s,Kh,0.414,0.0745
4s,Ac,4h,Kh,5c,Kc,4c,0.5675,0.872
Th,3c,Qc,Kc,6h,9d,5c,0.4335,0.152
4d,2c,8h,Qd,2d,9d,Jc,0.3315,0.3135
Td,2s,Qc,4h,Kh,7s,7c,0.4235,0.2775
7h,8s,3h,Qd,Qh,6d,8c,0.4785,0.8255
Qs,6c,Js,6d,3d,5d,Jc,0.506,0.778
7h,As,7s,2s,9c,5s,Kh,0.5825,0.637
8h,7h,4s,6h,Qh,Js,9s,0.487,0.117
8c,4c,3s,3d,Ks,2c,6d,0.4295,0.0325
Jh,Ad,Js,6d,7s,8s,2s,0.6305,0.5465
2s,Kh,5h,4s,9h,3h,3d,0.4945,0.2625
7d,2h,Ks,7h,Jc,Qh,6d,0.337,0.508
2d,Qd,2s,8h,Ad,3d,9c,0.497,0.4445
5s,Qh,3s,As,6s,8d,6d,0.4795,0.3375
Ac,2d,5c,5d,Jh,3h,8c,0.576,0.434
6s,3h,4s,6h,Qs,8d,Kc,0.341,0.535
5s,3c,Kd,6c,9s,Kc,Jd,0.3725,0.037
Td,Kc,Tc,7d,Kh,4d,Qc,0.5875,0.935
8h,Js,Ah,7h,Qc,2c,Jc,0.516,0.625
9s,2c,7h,3c,Qd,5c,2s,0.416,0.4165
9s,3d,2h,Ah,Qh,Ks,Kh,0.3985,0.13
3h,Th,Ad,5d,6d,8c,Tc,0.4635,0.6745
6h,Ks,As,Kc,2s,3d,2h,0.5455,0.708
Jd,5s,7d,8d,4c,4h,7c,0.4775,0.2535
Qd,5c,6d,6c,6s,Jc,Jh,0.489,0.427
Qd,6d,Js,Ts,Qc,Qh,2h,0.5245,0.9015
2s,Th,8d,Jd,Kd,9h,6c,0.4115,0.1295
Qh,3d,Ks,4h,4s,Tc,5c,0.482,0.364
5d,Kd,Js,8s,Kh,2h,Ks,0.559,0.911
Ts,4d,5c,Ks,8s,7h,6h,0.419,0.766
7c,7s,6s,As,4s,2s,6c,0.642,0.69
4h,Qh,9c,Kc,7d,8c,2h,0.5195,0.19
Ad,Jh,Kh,Ah,3d,Qs,9h,0.629,0.8485
9c,9d,6s,Kc,5d,8c,6c,0.7045,0.7015
8c,Td,Ac,7s,3s,2d,9s,0.5275,0.103
8h,2c,2d,Ks,8d,8s,9h,0.371,0.9805
Jd,As,8s,Ts,6d,Qd,4c,0.6395,0.335
9s,8s,2s,2d,Kc,9d,As,0.527,0.6195
4d,2s,Th,4h,Kd,Qs,2h,0.3275,0.8545
2c,9s,5h,3s,9c,Th,5s,0.401,0.6815
Ts,Ac,9c,5d,Ks,8d,4d,0.6115,0.3425
Qc,Qh,2c,9c,7c,Kd,4c,0.788,0.904
Ad,5h,Js,2c,4h,Ac,7h,0.596,0.8565
Ac,2d,6c,9d,5c,5s,Qd,0.5505,0.47
Qd,9d,5c,7d,2h,Js,Ah,0.5835,0.2505
9s,7d,3c,Ks,6d,Tc,9d,0.4745,0.6285
Jc,Ks,9s,Kc,Js,Qh,Jh,0.614,0.9965
4h,3d,6c,Jc,8c,9d,7s,0.3515,0.0185
8s,9d,2d,Jc,4c,8h,3s,0.4915,0.7125
Ac,4s,Ad,9d,Qs,As,5c,0.5475,0.9645
5d,Qd,5h,4h,Jd,6s,As,0.512,0.527
9d,3h,2c,5c,3d,8h,3c,0.416,0.885
8d,2d,5c,Qd,3h,Js,6d,0.396,0.027
2h,9s,Kh,Jh,4c,Jd,5s,0.3885,0.1355
6c,9h,Js,9d,Qc,Kd,3c,0.4465,0.4605
3d,Ks,3h,Js,8d,Jh,8h,0.545,0.5785
5d,8s,6s,4d,Kd,7s,2c,0.4295,0.9955
Jd,2h,Kc,Ks,As,3s,2s,0.4435,0.31
8d,4h,8s,Jh,9s,6s,3c,0.389,0.5795
Jh,7h,Ah,Qh,2s,Kd,6s,0.5215,0.3595
9h,9c,7h,6s,Tc,Qd,Qh,0.733,0.7685
Kh,3h,8s,Th,7h,2s,2d,0.533,0.324
5h,6c,4d,5c,5d,9s,8s,0.395,0.9385
5h,2d,5s,4h,Td,3c,8h,0.372,0.57
Qc,2c,Ah,8d,Jh,Tc,Qh,0.5,0.4425
4c,2c,9c,Ac,6d,7d,8d,0.3695,0.015
Th,Ah,4d,Kh,4s,Js,3d,0.652,0.457
Ts,6s,Jh,Td,Ks,Qs,3d,0.4665,0.3345
9d,6h,Qd,Jh,4d,Kh,3h,0.4435,0.171
8d,9d,Qc,Ks,Ts,6s,4c,0.534,0.1845
2c,4h,6s,Ah,Qc,6c,3s,0.35,0.0055
Ac,As,5d,Ks,5c,3s,Jc,0.862,0.893
4d,Qh,6h,Js,Jh,Td,6d,0.4795,0.3865
3h,8h,Ts,5c,As,5h,9d,0.3875,0.0895
2h,7d,Qd,2s,Jc,Ac,Qh,0.3505,0.565
9h,5d,Kd,5s,5h,Qh,Qc,0.427,0.8805
8h,7s,Jd,8d,Js,8c,4d,0.4445,0.8955
Kc,9h,Tc,Ac,Jh,Qc,Qd,0.5765,0.873
Kc,2s,8s,Qs,7d,Qh,5d,0.5425,0.2935
4c,Ah,8h,2d,5d,7d,2h,0.5615,0.3785
Qc,Jh,9s,7d,Jc,Js,9c,0.607,0.976
2d,9d,5d,6h,3h,6s,5s,0.449,0.1355
3s,Ad,6s,Tc,2s,4c,5s,0.5615,0.881
5c,Kh,Ks,7c,Ts,9c,Qh,0.5275,0.672
8s,Kc,Kh,7h,5s,Jh,7s,0.5595,0.811
4h,3s,7d,4c,6s,Th,3h,0.3405,0.745
8h,Jd,Qd,Qs,2h,3h,8c,0.538,0.8705
8s,7h,Ad,5s,Jd,8d,4d,0.447,0.3785
5c,3s,Ks,5s,Kd,2c,8s,0.341,0.6415
2h,8c,Th,As,4s,3s,Kh,0.3535,0.061
9c,Kd,7h,2d,Th,As,Tc,0.5485,0.503
Qd,Qc,8s,3c,6h,9d,3d,0.8085,0.848
8c,Jc,6d,9s,6h,5h,5c,0.534,0.2565
Kh,Qd,Ks,Jd,Qc,8h,6c,0.636,0.9455
3d,9c,Kd,Ks,8d,Qc,4s,0.415,0.206
6d,Jc,6s,Qd,Qc,Ah,4c,0.48,0.7215
8d,Jc,6h,9h,9d,5d,3c,0.476,0.151
Js,Jd,As,Ks,Ac,6c,5s,0.7645,0.7445
9d,3c,5h,5s,7c,Jc,8s,0.404,0.1
8d,5c,5h,Qc,7s,Jh,Td,0.4025,0.4135
6c,9h,Jh,Td,5h,9c,8s,0.468,0.376
Js,6h,Ah,Tc,8c,4d,9s,0.4655,0.1565
2s,Ks,9d,4c,5d,Jc,3d,0.523,0.202
4h,6s,5h,8s,5d,5c,9h,0.37,0.061
6h,6c,2s,5h,9s,Ks,Jc,0.612,0.533
Jh,Kd,Qh,9h,9d,8c,5h,0.592,0.3415
5s,Qh,Ks,Jc,Qc,Td,9c,0.506,0.3945
Kh,Kc,9d,5h,3c,Td,4d,0.819,0.794
Jc,7s,5c,5s,7d,Kd,9c,0.5055,0.5925
5h,Jh,Qc,6h,5c,9c,5d,0.5195,0.9205
3d,2d,Qh,Qd,Ad,Qc,6c,0.342,0.035
Jh,Tc,9d,8d,Kc,6s,9s,0.555,0.2555
3c,7s,7h,Tc,6h,3d,Qs,0.3935,0.879
6c,2c,3c,6d,3d,Th,5c,0.367,0.6475
5d,Th,4c,9h,Ad,5h,3s,0.44,0.484
9s,Kd,Js,9d,8d,Th,Qc,0.569,0.928
5s,8s,7c,3h,Jh,9s,4s,0.438,0.046
2s,8s,Kd,9h,3c,7s,Ah,0.418,0.102
7h,Jh,Ac,6c,4h,Tc,8s,0.5335,0.151
3h,9c,8s,Jd,7s,5h,5c,0.408,0.083
Kc,Kh,6d,Ah,6h,8d,9h,0.8055,0.726
9s,4c,6d,Jd,Jh,2d,Kh,0.419,0.15
7s,4c,Qs,8c,5s,Qc,Jc,0.387,0.1
3s,7s,6h,5s,Kc,3h,3d,0.434,0.929
9d,Kc,Ks,Jh,2s,Th,Js,0.572,0.787
Qc,Jh,Ac,7h,6d,8s,Jd,0.5575,0.779
7d,Kh,2c,9s,8d,Js,Kc,0.53,0.819
Kh,6s,8d,2h,5s,8h,5c,0.5655,0.5665
8c,Th,Jh,Qs,7d,9d,Qh,0.4805,0.969
6d,Qh,6s,Ks,As,Qc,Tc,0.5095,0.7545
6d,Jd,4h,8d,3h,2h,Ts,0.499,0.086
8h,Kh,7h,3c,Th,Ah,As,0.5825,0.973
4h,6c,3s,6d,3d,Ah,Ks,0.408,0.597
Jh,3h,Th,Ac,7c,3c,3d,0.4885,0.922
4d,7c,5s,5d,Tc,As,Ks,0.3795,0.153
Ks,Qc,7h,8h,Jd,Ac,Kc,0.6215,0.776
Jd,7c,8d,Jh,Qc,6d,7d,0.491,0.846
Ts,Jh,3d,7c,Td,Kc,7d,0.5685,0.6725
2s,5h,4d,Kd,5d,7d,9d,0.3075,0.3755
5h,6d,Ks,3c,Td,3s,8h,0.3965,0.069
Th,6d,5c,9d,3c,2d,Td,0.453,0.7665
4c,Ts,Ad,7c,3s,5h,7h,0.443,0.135
4d,3c,9d,Tc,7s,9c,2s,0.364,0.0035
3d,8d,5d,Qh,4d,Jh,3h,0.4065,0.405
8h,Ah,Jc,Th,Kc,As,7d,0.616,0.69
2d,3h,6c,4c,4h,3s,5c,0.323,0.7135
7d,Ts,7h,4h,6h,Js,8h,0.4845,0.319
Tc,Kh,3h,Ks,6d,7h,Qd,0.6,0.857
9h,3d,6c,3c,7h,2h,Td,0.406,0.5085
Qc,Ts,6s,2s,3s,5c,2d,0.5655,0.185
Ac,Ks,2c,7s,7c,Qc,Td,0.6875,0.4995
Jd,2d,4s,3s,Qs,9c,3c,0.464,0.2315
Jc,7s,9s,4s,As,6c,6d,0.5085,0.2345
7h,Kc,7c,6c,Jh,5d,Ks,0.5595,0.941
Ad,Ts,As,5c,6d,Th,7d,0.646,0.9295
Jc,2d,Kd,9h,3c,6c,3h,0.4485,0.2575
9s,5h,Ks,Kc,8c,9h,9d,0.4215,0.8895
Ad,2c,Kd,8d,9h,8s,6h,0.5675,0.4305
8c,8h,9s,4s,5d,6d,3d,0.6745,0.442
Jd,Qd,Th,5h,Qh,5s,2s,0.6365,0.8165
Ks,Qc,Ac,3d,7h,5d,8c,0.6185,0.349
Td,6s,7c,2c,3s,2h,Ts,0.478,0.8035
9h,4c,7h,4h,4s,9c,Kc,0.413,0.9905
Tc,Ts,7s,8d,Kc,Kh,6h,0.743,0.86
6s,5c,8s,Ks,9c,2d,8h,0.388,0.0575
Ts,Js,6c,8s,Th,8h,4d,0.5735,0.8015
3c,4s,2s,Jd,9s,5d,Kh,0.347,0.0025
6s,9h,Kc,8d,Kd,2h,3h,0.4765,0.116
Ts,9c,Ad,3c,8s,9s,3s,0.478,0.695
7d,4h,As,Qd,Th,9h,9d,0.373,0.1435
Ks,6d,8d,Jh,9c,4s,Qh,0.5455,0.159
7d,Td,Qh,Jd,5d,9d,7c,0.507,0.986
Js,Td,Kc,Tc,Ah,7h,5s,0.556,0.6875
6c,Kh,Js,Ac,Ks,Ts,2s,0.5395,0.3985
7h,3s,8c,Jh,5c,Kd,9d,0.345,0.103
Kc,6h,Jd,4h,7s,2d,6s,0.567,0.646
Ts,3h,Kh,8d,Th,Ks,Jh,0.4375,0.6355
Jd,Td,Jc,Ah,7c,Ts,9d,0.5705,0.7635
Ts,5d,Ac,9c,2c,2s,4c,0.426,0.1145
Ac,8d,2d,7h,Kc,Ah,Qs,0.5995,0.846
4h,Ac,Ad,6s,6c,4c,Js,0.582,0.827
9c,Ah,7s,7d,Kh,Tc,6s,0.618,0.4325
9s,6s,5s,Td,Th,8h,5h,0.4795,0.1705
9d,As,Kh,3s,6h,Ad,6s,0.5905,0.8695
6h,4s,Kc,Ts,3s,5c,2d,0.3985,0.9975
Jh,6s,Tc,8h,Qd,3c,Jd,0.4995,0.5855
Th,Ac,6s,7h,4h,Qd,2c,0.6235,0.324
5h,Td,5s,As,6h,Jd,5c,0.4525,0.9595
7s,6h,Jd,Jc,Js,Td,2d,0.4475,0.113
Ad,3c,Js,Kd,4s,2d,Jc,0.579,0.4145
6c,9h,Js,Tc,5c,Jd,5d,0.441,0.1505
Th,5c,4s,5s,7s,6h,9h,0.4365,0.288
3h,Kc,7d,5h,6c,3s,4d,0.526,0.41
9c,3h,7d,7c,3s,8s,2s,0.408,0.659
Ah,5d,Td,Kd,5c,7c,2h,0.584,0.591
Kh,6s,8d,Qd,3h,7s,2c,0.5165,0.2475
Td,Ad,Ks,Kh,6d,5c,8d,0.644,0.4445
As,3d,6s,5h,9s,Kh,2c,0.5585,0.298
7s,Qd,Kc,Qs,3c,9d,6h,0.5565,0.768
5c,As,5d,2s,Ad,9h,Ah,0.5855,0.9915
5c,4c,Ts,9c,Ac,4s,Qc,0.4455,0.983
Kh,5d,Qs,6d,Kc,Td,2c,0.5505,0.815
2d,Kd,4c,4d,2c,8c,6d,0.5375,0.53
8h,Jh,Ts,4h,Jc,2s,7c,0.5265,0.85
Kd,Ts,8s,7c,5c,7s,Ac,0.5975,0.4275
6d,9c,6h,7c,Jd,Qd,Kc,0.449,0.464
5d,Ts,Ac,Tc,5s,4s,9c,0.447,0.8895
Ad,Ks,8h,Tc,2s,8d,9c,0.635,0.491
6s,6d,Ks,2h,9d,Jh,5c,0.6115,0.5805
3c,6d,9c,8s,Ks,2c,4h,0.3585,0.01
Qc,7s,Tc,Td,9d,3c,Jd,0.518,0.231
Th,Js,As,9s,4h,Tc,Ad,0.57,0.875
5c,8c,6s,3d,5d,9d,Js,0.454,0.504
Jh,7d,8c,2h,6s,Ks,As,0.4895,0.235
8d,6s,Qh,3d,9d,7s,9h,0.44,0.1065
9c,6c,Qs,3d,Jh,2d,Qd,0.436,0.1585
4s,9s,8s,Qs,Ts,Th,6c,0.441,0.951
7h,4s,Jh,Ts,Jc,8s,Ad,0.4015,0.1025
8d,Js,Ts,3s,3h,6c,4h,0.519,0.1565
8h,5h,6s,2s,9s,2c,As,0.4745,0.0505
9s,3s,6s,8c,3h,4s,Th,0.4455,0.409
Th,Ah,4d,6s,Jh,Qc,2d,0.644,0.353
7s,Kd,4h,6s,Qs,Jc,Ac,0.5675,0.3485
6s,Td,9c,Ks,6h,Kd,Th,0.493,0.794
4h,2d,4c,3s,Js,Qd,Qh,0.33,0.6885
Qh,Qd,2h,Jh,Js,7s,8c,0.8055,0.869
6h,2d,9d,2s,Ts,9c,Qs,0.3455,0.5075
Jc,6s,As,3d,Tc,3c,6d,0.472,0.6105
4h,Qc,9h,Kc,8h,Jh,As,0.493,0.3145
6c,7s,9d,4h,Ks,Jh,4d,0.422,0.0965
9d,4c,6s,5h,2c,2s,Th,0.417,0.072
Qc,4d,Tc,Jd,3c,7c,3d,0.4895,0.238
8h,As,4d,Kh,2d,3d,6h,0.5985,0.204
6c,7h,Ts,9d,Td,5s,2d,0.4345,0.0435
Qs,6h,3s,5h,6c,Ad,4s,0.5165,0.468
Qd,5h,Jc,Ah,2h,4d,7c,0.4925,0.235
9d,Td,Ac,Tc,3c,3h,4d,0.568,0.6785
8h,5s,2s,6c,Jh,4h,3c,0.4055,0.9335
8c,2c,7d,4d,Js,7h,3c,0.407,0.0285
6c,Qh,4s,5h,2h,Js,3c,0.5005,0.928
3c,Tc,Jh,6h,2d,Js,3s,0.454,0.688
5s,7c,8s,6s,Tc,As,4h,0.375,0.945
8s,9s,Tc,5s,9c,3d,Kh,0.5335,0.666
7s,As,Tc,8d,9h,Kd,4s,0.6105,0.287
Kh,6s,As,Th,4s,2c,2h,0.5465,0.412
Ac,5h,9h,As,Qc,Ts,Ad,0.5695,0.9205
9d,8s,2h,Jd,4d,Js,Jc,0.484,0.207
3d,6s,Qs,3s,7s,5s,2c,0.3555,0.751
5s,3d,6s,2c,6d,3s,4s,0.37,0.869
Js,Jd,2s,9d,7d,Qs,6s,0.7705,0.7505
6d,3s,Qh,6s,Js,2d,3c,0.354,0.921
Kc,2h,5s,9d,5c,3s,Kh,0.4975,0.835
6h,2s,8c,Ah,8s,5s,5h,0.3445,0.3295
Kd,Qh,8h,3s,Ac,6d,Kc,0.614,0.7995
3s,6s,9c,Kh,2c,8s,5s,0.3695,0.0205
7c,Jd,4s,8s,9h,2s,Kc,0.482,0.1745
7h,3h,2c,9h,Th,8d,Kh,0.403,0.974
4c,6d,Ad,Qs,9s,7d,7c,0.386,0.095
Ad,5d,3d,Qd,Qs,9d,Qc,0.5735,0.65
3h,Td,8c,7d,6s,Jc,3c,0.4025,0.3645
2h,9s,Ts,Jh,Kd,6s,5s,0.4125,0.146
6d,Ah,Js,Qd,3d,2d,3h,0.5675,0.45
5d,7h,8c,7s,2h,8h,9d,0.4055,0.6425
9h,3h,2c,4h,Ts,8d,3c,0.449,0.5175
4h,5c,Tc,8s,3d,Qd,8h,0.3895,0.0255
Jd,3h,Jh,7d,3c,Js,6h,0.4615,0.9945
7h,4s,9s,As,6s,9d,5h,0.401,0.0595
Kd,4c,6d,Kh,Jd,Tc,Th,0.506,0.802
5c,7c,5s,3c,Td,4h,Jc,0.438,0.581
Ah,8s,3d,9h,2c,As,4d,0.6075,0.714
5h,8h,Kh,Ac,Jc,2c,7s,0.444,0.0905
2c,3h,9c,6c,7s,5d,Jh,0.319,0.011
9s,Tc,As,6d,9c,Ts,3h,0.5055,0.911
2d,6d,6h,As,5h,5d,3c,0.3865,0.6295
3h,3d,9h,8h,Qc,Kd,5s,0.549,0.33
Jd,5c,3c,6c,4c,7h,Ad,0.4515,0.885
Ad,2s,Jc,Kh,8c,3d,Tc,0.5805,0.2755
7h,8d,Ah,2d,Qh,3c,Jh,0.473,0.107
Td,Qd,7d,3h,3d,6c,5d,0.57,0.957
Ah,8c,Qs,Tc,3h,Kc,Kd,0.6075,0.4205
5d,4h,2s,3c,6d,4s,6h,0.3875,0.92
Kh,Kc,Qd,5s,7c,5c,3s,0.807,0.873
4d,Th,3s,2s,Ah,Jc,7d,0.392,0.1385
Th,Tc,Ad,8h,2s,7d,2h,0.758,0.773
Ac,Jc,Js,6c,Qs,Ts,Kc,0.6555,0.8905
7h,Ad,4s,As,Jh,5d,Qh,0.578,0.861
8c,Ah,3h,Kc,4s,5d,8s,0.617,0.7225
Jd,2d,Jc,Ac,Ad,Kc,4d,0.494,0.6575
Kh,8c,Kd,2c,2s,3d,9s,0.5515,0.841
Qs,9d,6c,Tc,2c,8d,7c,0.5695,0.587
4s,4h,7h,Kc,9c,3d,5s,0.576,0.487
6s,8c,Qd,9h,9d,9c,Kc,0.431,0.242
Qs,6s,Jc,3d,Jh,Qc,7s,0.5345,0.836
4h,7h,5s,7s,8c,5c,Jd,0.412,0.555
Qd,7c,Qc,7h,Ks,6c,7s,0.531,0.9945
5c,9c,8d,8h,4c,9d,2d,0.4625,0.756
5c,4c,7c,Qc,7h,4d,Jh,0.422,0.5735
Qc,Qs,4h,7c,Kc,Jd,Qh,0.8165,0.951
Kd,4d,8h,Ts,8c,Jc,7h,0.5325,0.237
2h,5d,Qc,9d,Kh,Jc,9c,0.3445,0.1325
2s,As,7s,Th,Ks,4s,2h,0.566,1.0
4h,5d,3h,Jh,2h,7c,Th,0.3785,0.701
2s,6s,3h,4h,8c,5h,Qh,0.3835,0.6365
9c,7c,5s,8c,Ts,Kh,8s,0.469,0.1635
7d,Jc,5s,6h,3s,8h,Qs,0.4985,0.114
5s,2d,8d,Th,9s,3s,4h,0.3605,0.005
7c,Jc,3d,Td,8d,Ts,7d,0.5095,0.4105
7h,Qd,Jc,2s,2h,9d,9s,0.4995,0.347
3h,7c,Ac,Ad,Qs,6c,Kh,0.3695,0.109
9s,7h,Kd,2c,9h,8c,Ks,0.4825,0.848
2d,Ks,Tc,9h,9s,8s,3d,0.49,0.315
4h,9d,9c,8h,3d,4d,7s,0.3905,0.9255
Ac,4d,Qh,5d,3s,3c,4h,0.583,0.5675
2h,6d,Kd,Jd,3h,2d,Ah,0.3475,0.4045
9d,Qc,3h,5d,7d,Th,Ad,0.5585,0.234
7s,5h,9d,Ts,2d,Kd,4d,0.418,0.031
2h,Jh,3c,9d,3d,Ah,Qh,0.4775,0.363
7s,Ac,Qd,9d,8d,5d,Th,0.5865,0.134
4h,9c,6c,As,5h,3s,5c,0.4045,0.0705
4d,4c,4h,4s,8s,7s,6h,0.563,1.0
4c,2s,9d,5c,Kc,Ad,4s,0.3235,0.462
9c,Qh,Qd,3d,6c,As,Kh,0.54,0.6795
Jh,Tc,2s,Qh,Qc,5h,8s,0.5965,0.2825
Jc,9h,7s,Qs,2s,As,Qc,0.5265,0.207
Ks,6h,Td,3d,2c,Kd,Tc,0.519,0.7875
Jd,2c,8s,Td,5d,9s,Kc,0.4455,0.1445
Ts,Ac,Ks,8d,Jc,Qh,9h,0.631,0.995
Qs,4d,Ac,7d,4s,Qd,3h,0.4755,0.925
2h,3h,2d,8s,Jc,Kc,3c,0.3395,0.8775
Jc,7s,7d,Kh,Jh,8c,3c,0.509,0.9275
6s,3h,9s,Kh,Kc,Ad,8c,0.37,0.115
3d,4h,Jh,Jd,Ac,5d,As,0.347,0.034
Qh,4h,Th,Kh,4d,9s,Qs,0.5005,0.7725
6h,9s,Td,6d,Ts,7d,8c,0.4535,0.869
Jd,Ks,Qd,Kc,5c,7d,Ah,0.587,0.8055
7s,3c,4h,9s,Ah,Td,Ks,0.341,0.106
Td,7h,Kh,9d,6c,6h,4h,0.4485,0.168
6h,As,Qh,Qd,Ac,2d,3s,0.576,0.8495
6h,9h,3c,2h,Jh,Js,4s,0.4775,0.1255
5s,2d,Js,9s,3c,Kh,6s,0.334,0.019
6d,6c,4c,6h,5d,6s,3s,0.637,1.0
Qd,Ah,9s,Js,2c,Jd,Qs,0.638,0.8165
Qh,Qd,8c,2d,Jc,3c,7d,0.7855,0.8155
Kd,Ac,9d,6h,7h,6s,4s,0.659,0.4465
7s,5h,Qc,Ks,Ad,Kc,9c,0.421,0.1365
Jc,5d,9c,As,8c,6h,6c,0.4755,0.2155
5c,4c,7h,2c,Qh,Qs,8c,0.425,0.0225
7s,4s,Kd,Qd,Qc,4c,2c,0.429,0.6435
Ac,3d,5d,Kh,Tc,Jc,7d,0.5745,0.3305
5h,6d,Ac,4h,3c,2d,8s,0.388,0.996
Qh,4c,3d,Td,3c,7d,6s,0.4845,0.215
6d,9h,5s,9s,8h,Jh,7s,0.4545,0.7315
Th,7h,Kc,Jh,9c,2d,6d,0.501,0.172
8c,7s,6h,Jc,Jh,3c,5h,0.4315,0.032
8s,Qh,Qd,Ad,7c,3s,5h,0.5075,0.7405
2s,Jd,8c,Ts,Kh,Qs,Ac,0.435,0.9325
