hand_1,hand_2,board_1,board_2,board_3,board_4,board_5,preflop_win_rate,fullboard_win_rate
Js,5d,Ks,5s,2s,3s,2c,0.4702,0.8888
Kd,8d,9c,2h,6c,As,7c,0.5808,0.308
8h,Js,9c,Jd,Jh,6c,Th,0.5101,0.9188
Jd,5c,9d,9s,8s,5h,7c,0.4733,0.4596
Kh,6s,2h,Jc,Th,4h,Tc,0.5463,0.318
2h,3c,Kd,6h,5s,Kc,Jc,0.3256,0.0162
Td,3h,4h,4c,Ac,Ad,9s,0.4243,0.2638
Qs,Qd,7h,9c,9s,Ks,7s,0.7984,0.6631
2s,7s,Jd,9s,3h,6h,4h,0.3711,0.0038
Td,9h,4h,5d,9d,Kd,4d,0.5144,0.8464
Qd,Kc,9c,4c,Jc,7c,Ks,0.6181,0.9527
Kc,2s,3h,7h,7d,2d,4c,0.5102,0.5778
6h,7h,Qs,Kc,Tc,4s,Qc,0.4569,0.1004
9s,2c,3h,9h,7c,6s,Ah,0.3842,0.6516
Ac,9h,4h,Kh,5c,9s,4c,0.6045,0.7553
4s,7h,Ts,2h,7d,9h,6c,0.3812,0.5037
2c,9d,Td,Ac,Qs,5s,Ts,0.3836,0.2401
6c,Qd,7s,3c,3h,8c,Kd,0.5112,0.3444
9d,7s,4h,Qs,6d,2d,4c,0.4648,0.0946
Ks,3c,Th,Ad,8c,Ac,4h,0.5179,0.4566
As,Jh,3h,Th,3s,Ac,Ks,0.6334,0.8464
3d,7c,Jd,As,5s,Kc,5h,0.3711,0.1971
7d,4d,5s,As,Tc,2s,Qd,0.4238,0.0333
7s,4d,Kd,2d,As,Ts,Qh,0.3892,0.1042
As,7h,4s,Qh,9h,8h,2d,0.5857,0.3224
Tc,6c,7h,Jc,Kd,8d,7s,0.4941,0.2545
5s,Jd,9d,6h,7c,Ac,8d,0.4789,0.7654
Td,5h,2d,Kc,Ks,6d,Ah,0.4405,0.2425
Td,Jh,Th,6c,6h,Ad,7h,0.5524,0.6874
Ks,4h,Jc,2c,Jd,Kc,9s,0.5209,0.7805
6s,7s,Td,9h,Qs,6d,5c,0.4494,0.5132
Th,2c,Qh,3c,6h,9d,7s,0.4288,0.0688
As,7h,4h,Tc,2s,8c,Jd,0.5885,0.3182
Ac,Ad,6d,Qd,6c,Td,4h,0.8514,0.869
2d,Jh,4d,5c,2s,9d,6s,0.4365,0.3159
3d,Ad,Qc,Kh,9s,Kd,Jh,0.5798,0.3639
Qd,9d,2d,7h,6d,3c,3d,0.5747,0.9587
2d,9d,7s,8c,4d,2s,Th,0.4215,0.4113
Ks,4d,8h,As,Kd,5d,Kc,0.5278,0.9532
2d,9s,As,9d,Ah,2s,6s,0.3912,0.7752
Kc,Kh,Jc,2h,Ac,Th,8h,0.8228,0.738
Ac,5d,5s,4d,3s,4c,Js,0.5752,0.6555
Jc,2d,Qh,4s,7s,9h,6d,0.4424,0.1187
8h,6d,9c,9s,Js,5h,6c,0.4336,0.6815
Jc,5c,3h,6s,Ah,Jh,Kh,0.505,0.3745
3h,Qs,Ah,4d,7d,4h,6s,0.4814,0.3119
Jd,7s,8s,3c,3s,Qs,9c,0.4982,0.2421
4s,6h,5d,Kh,2c,6d,Ac,0.384,0.612
7h,Th,2c,Qd,5d,5h,6h,0.4983,0.1595
4c,3s,5h,Ts,8c,8s,7s,0.3486,0.0165
3s,Tc,Jc,3c,Qd,6d,5c,0.4218,0.4195
Ks,Jh,9c,Jd,2c,3s,Js,0.6074,0.9772
Jd,9s,2c,2d,Jc,Ts,Js,0.5264,0.9761
8h,9c,Ad,Kc,Td,4c,9d,0.4844,0.5259
9d,Qh,Ks,Ts,4c,9s,8s,0.5642,0.3775
9h,Td,Ad,Kc,Ac,4h,8h,0.5139,0.2898
Kh,2s,Ac,Jd,5d,As,Ad,0.5075,0.5443
6h,2s,7h,Qc,2c,Kc,Ah,0.3406,0.413
3d,8h,3c,5h,5c,9d,Qs,0.3726,0.5832
4c,Ad,Jd,8s,5c,6c,Qd,0.5586,0.289
Ts,9h,6d,2s,6c,Jh,4d,0.5202,0.1789
Qh,3h,8c,Ac,Jd,Kd,Ad,0.5058,0.4179
8d,Ks,4h,3h,9h,2h,9s,0.5578,0.1837
Ac,Jc,6h,5h,Jh,2s,8s,0.6558,0.8
Qs,2d,4s,Kc,Ah,6c,Qh,0.4768,0.6614
7c,7d,4h,3s,7s,Jd,Qs,0.6645,0.9321
6d,Th,Kc,4d,Jc,7d,5d,0.4525,0.1459
Js,6d,Kh,9s,5s,3s,3d,0.483,0.2303
Qh,Td,Kh,7h,Jd,Ad,Th,0.5688,0.8966
Kc,6s,9c,5h,Ks,Ts,9d,0.5489,0.8297
6d,3c,Tc,Ac,Th,Ad,As,0.3593,0.47
3h,Ac,7s,9d,Ts,6h,Js,0.5662,0.2132
3s,Ac,Js,9s,As,7d,Ts,0.5597,0.7057
3s,2s,Qh,Jc,Th,Ac,8d,0.359,0.1019
6c,Jc,Kh,2d,Ah,6h,Qs,0.5039,0.5178
5h,9s,7d,3c,8d,7c,7s,0.4197,0.1098
Jh,8d,Qh,2c,3s,Ac,9h,0.5231,0.2591
9d,6d,9h,Ts,6c,Qh,Ac,0.4749,0.8807
8s,Td,5h,Qh,2c,Kc,6h,0.4956,0.1617
2s,7d,Qc,Jd,Ac,5s,8s,0.3513,0.1082
Qc,7h,Js,Jh,2c,4h,Tc,0.5181,0.2628
6d,6c,Qc,9s,2c,Tc,Ad,0.634,0.4556
9h,9d,Th,7h,2d,Ks,8s,0.7235,0.6755
9c,Ad,6c,Ac,6h,5d,5s,0.6082,0.7991
6c,Td,Kc,2h,4d,Tc,4s,0.4585,0.7147
Kd,Qc,As,5s,Ah,7s,Jd,0.6098,0.4727
5d,Th,Tc,2s,3s,3h,7h,0.4382,0.8077
Js,4c,9d,6d,3d,4h,As,0.4587,0.4928
9s,Td,9c,7s,2c,6h,2s,0.514,0.8015
3h,Jd,Td,7h,Qh,9h,7d,0.4468,0.2236
Ks,3c,2d,Js,2c,8c,7d,0.5094,0.3197
4d,Td,Tc,Ks,4c,Ah,Js,0.4646,0.7571
3d,Th,2h,Qd,7d,8c,8d,0.423,0.1611
As,6c,Jh,7d,4h,9h,5c,0.5817,0.281
Qc,Jh,Ks,5h,Ad,7h,Qd,0.5787,0.7067
8d,7h,Tc,8h,3h,Kh,Kc,0.4446,0.6784
6d,Qs,As,7d,6c,7c,7h,0.5181,0.7608
3c,As,9s,3h,Th,Ah,7c,0.5585,0.8925
5d,Kc,4h,5h,Jc,2d,4d,0.536,0.6937
2d,Qh,4h,3h,As,9d,7s,0.4734,0.2024
5h,7c,3s,3c,Qh,Js,Th,0.4046,0.1394
Qs,9s,9d,9h,4h,3c,Td,0.5825,0.9711
Ts,8s,5h,Td,9d,2d,6s,0.508,0.7745
Kd,Qd,4h,Jd,3d,7d,Qh,0.6298,0.9921
Kd,8c,Jc,9d,2s,7h,6h,0.5573,0.2438
Td,8h,5s,2c,Jc,4s,9d,0.4917,0.1118
Jh,3d,Kc,5h,As,5c,6h,0.4618,0.3658
7h,9h,4s,Kc,8h,Jc,Js,0.4885,0.1756
Jc,4h,Ks,Td,9c,2d,Ah,0.45,0.2577
5h,5s,6c,Js,2d,6h,As,0.6028,0.6371
Ad,3h,9s,6c,2d,7h,Qs,0.5584,0.3005
5d,Tc,3h,Kh,2c,9h,6h,0.4457,0.0456
Td,6h,2s,Ts,Ks,4h,5d,0.4609,0.675
9s,4s,4d,3h,Jc,Js,8d,0.4423,0.702
6h,5c,2h,7s,8c,9c,2c,0.4052,0.9009
3d,4h,2d,Ks,Ad,9c,Th,0.355,0.005
Kc,9c,5s,2c,6h,9s,Qc,0.5979,0.7466
3h,Ad,3d,8d,Td,Kd,4h,0.5583,1.0
4d,Kc,Js,9c,8d,Jh,Kh,0.5184,0.8123
7s,6d,9c,2d,3s,2h,3d,0.4223,0.0659
Kd,3s,7h,9d,5h,8s,Th,0.5143,0.0938
Ad,2d,Tc,9c,Th,Ac,Jd,0.571,0.76
5c,Tc,4d,3c,7d,9h,2c,0.4699,0.0338
Kc,As,9h,8d,Qc,Kd,7d,0.6519,0.8078
Ad,Ac,Qh,Jd,3s,9s,Td,0.8458,0.5622
7s,Ts,Kd,8h,Ac,9d,6d,0.514,0.953
7d,Qd,9d,Ts,6s,Kd,3s,0.5451,0.2363
7d,9d,Kd,8h,3h,Ts,6s,0.5008,0.9958
Jh,2h,7d,4d,4s,4h,Kc,0.4785,0.353
9s,3c,Jh,2d,Qs,4c,8c,0.3996,0.0886
Jd,Jc,4s,8d,7h,Ah,Js,0.7795,0.9631
5d,4s,8s,Jh,6s,7s,3d,0.3785,0.9335
7h,8s,Kh,Qh,3s,Ad,8d,0.4499,0.5605
Qs,Jh,Kd,9c,2s,2d,5c,0.5844,0.3846
Td,5s,2h,Ah,5c,Ac,As,0.4358,0.8742
Th,5h,Ts,5s,8h,4h,2h,0.4698,0.9791
6c,Js,9d,Jc,7s,8s,9c,0.4713,0.6619
Qs,3d,Qd,7d,9h,4h,2d,0.4779,0.7954
9c,2s,2d,2c,5c,3s,Kc,0.3948,0.8984
Jh,Qh,4c,2s,Ks,4s,9d,0.6023,0.3577
Ks,7d,As,8s,7c,2s,9d,0.555,0.5301
6d,Jc,7s,2c,5h,7h,Js,0.4814,0.8392
8h,Td,Ks,8c,2h,Kd,Ah,0.4985,0.7207
6s,Ts,5d,8c,2h,Td,Jc,0.4965,0.7233
3h,Kd,2s,9h,2c,6c,4s,0.512,0.3219
Ah,2h,5c,7c,5d,3c,Kh,0.5768,0.4011
3h,Ac,Qs,7d,4c,6h,9h,0.5613,0.2866
Kd,7c,9s,Jh,2s,3c,Ah,0.5528,0.3453
Jh,8s,5s,8d,7c,8c,As,0.5151,0.9351
7d,6d,6c,3d,6s,5d,Td,0.4523,0.9555
2d,3h,Ah,5c,9d,Kd,4c,0.3224,0.9953
Ts,7d,4c,Tc,6s,Qc,2d,0.4811,0.6949
6h,2d,4d,Qd,As,4c,7s,0.3426,0.035
7d,4s,6c,2h,2c,Qh,9s,0.3866,0.0583
Ah,2h,8d,7s,5h,Jc,8c,0.5696,0.4064
Td,7d,6d,6s,Jc,Js,Th,0.5024,0.765
Ks,6h,Kd,5s,3h,3c,4d,0.5397,0.7867
Ac,3d,8d,5h,9c,7c,Qc,0.5591,0.2043
4s,4d,3h,Qc,9d,5s,6h,0.5684,0.4636
Kd,2c,6h,Kh,5d,9d,3c,0.5008,0.8056
6h,4h,7d,Kc,Ks,As,4c,0.4154,0.5977
2s,Ac,Qd,8h,Kc,Kd,Td,0.5454,0.4161
9h,3d,Kc,Qh,2c,8d,Kh,0.3965,0.1734
Qd,7d,8d,9s,8s,8c,3s,0.545,0.3224
8d,7s,Tc,Qd,8s,8c,4h,0.4454,0.9412
Jd,4c,9h,9d,9s,3d,2s,0.4643,0.2215
6d,Kc,8h,4c,Jh,5d,Kh,0.5427,0.8016
Qh,3d,6c,3s,6d,Qd,Jh,0.4767,0.8407
Tc,6h,2d,Jd,9s,3s,8c,0.4641,0.1081
Tc,3c,3d,6d,2d,8d,Td,0.4526,0.3372
3c,Ac,4c,Qh,5h,7s,Ts,0.5787,0.3021
5s,9s,8s,2h,Kd,5c,2d,0.4575,0.5843
7c,Qh,Jh,7s,6c,Ks,3d,0.5208,0.6712
4s,Tc,Jc,9h,8s,2c,2h,0.4319,0.1691
Kc,2c,2h,9c,4h,Ah,8c,0.5328,0.442
Kh,2h,Jh,Ad,5h,Tc,7h,0.5354,0.9914
Qs,Ac,Qc,2c,7c,7d,3c,0.6506,0.9771
6c,8h,2s,4c,7s,9h,5d,0.432,0.996
5d,Ah,Qd,9c,9s,3c,6s,0.5789,0.4446
9c,Ts,Ah,8d,3s,As,3h,0.5134,0.2633
2d,4d,6s,Jc,Ks,8s,Kc,0.3701,0.0316
5s,Ts,5h,7h,Ac,8d,Qh,0.4649,0.4184
5c,5h,6s,Kd,9s,8d,Qs,0.6012,0.3473
Qs,3s,Ks,Qh,Tc,6h,Js,0.5083,0.4854
Jd,9c,Qc,2s,3h,Ac,4c,0.5306,0.1756
8c,2c,Kd,Qs,Qd,7h,Qc,0.3997,0.1769
8d,3h,Js,5s,2h,2d,Ks,0.3776,0.1024
Qh,Jd,Ah,Qd,6d,Qs,5d,0.5905,0.9407
Kc,2s,2d,5h,6c,8h,7h,0.4998,0.2336
7s,8s,Kc,5h,6s,Td,3s,0.4809,0.0386
6s,Ah,4c,Qd,Ad,4d,Kd,0.5773,0.5059
9h,Js,7d,Kc,5h,Th,Jc,0.5235,0.7365
6c,Qd,6s,Ts,6d,As,4s,0.5108,0.626
Ac,Kc,8h,3d,Qs,Th,Ks,0.663,0.8761
Ad,Kh,5h,4d,5c,Jh,2c,0.6528,0.49
8h,9d,5d,5h,2c,9h,9c,0.4873,0.976
As,8c,2c,3c,Jd,2s,Th,0.6018,0.4505
6s,3c,4s,2c,Qc,Ah,6c,0.3518,0.573
9s,Jh,Kc,6d,7d,Jc,4h,0.5339,0.7511
3s,Kc,7h,3d,9c,2c,Qh,0.512,0.5746
5h,Ac,3d,Kc,7c,5d,Td,0.5675,0.5441
6h,Ah,Td,Qs,Jd,Ks,9d,0.5957,0.8918
Ac,Kd,9s,4h,Jc,Ad,Tc,0.6546,0.8622
3s,Kd,Qh,2h,8c,4c,Qs,0.5151,0.3167
7c,6s,Js,3s,9h,7h,Qs,0.4198,0.5179
8s,Td,4d,5s,5d,6h,2d,0.4944,0.042
Ah,Js,5d,Qs,4h,6s,Ac,0.6408,0.847
Th,Js,Qh,Tc,Kh,5s,9s,0.5436,0.9304
As,9d,7c,4d,Kc,2h,6c,0.6002,0.3029
As,5c,Kc,9h,3c,4h,Ah,0.5765,0.7996
Td,8h,Th,5h,9h,4d,2s,0.4961,0.7893
Qh,3h,Kc,3d,Ad,6d,3c,0.5097,0.9197
2s,Td,4d,7c,Kd,9d,3s,0.4188,0.065
6c,Kc,6h,Ts,2s,6s,Qd,0.5665,0.9315
2h,Ts,Th,9c,8s,8h,7h,0.4243,0.4996
Jh,Ts,4s,7d,3s,3d,6c,0.5541,0.1241
6s,7c,Ac,5c,Jc,Tc,6c,0.4116,0.827
7s,Kh,Ah,Td,6c,7h,3s,0.5553,0.6561
4c,4s,Tc,7d,As,5d,Ks,0.5716,0.3946
8s,3c,Td,7s,8c,9d,Qh,0.373,0.3314
6s,Qh,7h,7s,Ts,6c,Ks,0.5239,0.5521
6c,Th,8c,Ac,Jd,Ks,9h,0.4662,0.2492
Qc,Td,6d,4h,Js,Ac,Kd,0.5742,0.9957
Jc,7d,5c,4c,3c,7c,Kc,0.4929,0.8712
3h,6s,9h,Ac,7s,2c,5d,0.3625,0.0108
Qd,2d,9s,Qs,5s,7h,Ts,0.5113,0.4898
3c,8c,5c,8s,Ah,3d,2d,0.3974,0.7812
Th,Ad,Td,Js,4s,Tc,Ks,0.6236,0.9073
6d,Kh,Td,Qs,2h,6h,9d,0.5409,0.5445
Ts,8d,Td,Jd,9h,Ks,Qc,0.492,0.4165
Ks,As,5h,Qs,5c,6s,Kd,0.6701,0.8828
7s,9s,2c,9c,Ac,2h,Qd,0.4946,0.5738
2c,Ts,Kd,Td,Qh,Ah,4h,0.417,0.4321
Qh,5h,6s,Qd,4s,6d,6c,0.5232,0.9002
As,3d,Ad,Th,8c,Qs,2d,0.5491,0.8346
2h,4c,Qd,7c,5h,3s,3c,0.3317,0.0053
Ah,Jh,7h,Ks,Ts,Td,5h,0.6504,0.5023
Kh,5h,2h,Ks,7d,Js,9d,0.5523,0.8197
Qc,As,5h,3c,6s,4s,6d,0.6409,0.2713
3h,5d,Jh,2h,7c,9h,Ts,0.3563,0.0226
7h,4s,Jh,7s,2s,5h,3s,0.3795,0.6619
Td,6h,9c,Th,Qc,4h,8d,0.4572,0.5945
6s,4s,9s,7c,Kh,9d,Jc,0.4165,0.0668
9c,4s,4d,5s,5c,2c,Jd,0.4138,0.6596
Th,Js,2s,Jd,4s,5c,3d,0.5522,0.5518
Ks,Ac,Tc,5s,Td,Qd,7c,0.6529,0.5087
7h,Tc,8s,Ac,Kc,4c,Td,0.4716,0.6119
2s,Tc,3h,6s,8h,9h,7h,0.4189,0.5992
2c,8s,4d,Jd,2h,9h,7c,0.3686,0.4405
Td,As,2d,8h,Qc,Ad,Tc,0.6216,0.951
2c,3d,Td,Ah,7s,7d,Jd,0.3217,0.131
Ad,3c,8d,Jc,Jd,Qc,Ts,0.5525,0.358
Qs,Qd,Kd,6c,2d,Qh,7d,0.8055,0.9631
2h,9d,Qs,Th,8d,6c,9s,0.3918,0.3932
Qc,4s,3d,Kh,6d,Tc,Ks,0.4932,0.3316
5d,Ah,Qs,9s,Jd,Kc,Ac,0.5827,0.7017
3c,8s,Qd,Qh,9s,3s,As,0.3794,0.5604
Kh,Qd,Ad,8s,6s,9s,As,0.6106,0.2603
3s,9d,8s,Qs,6h,2s,Jd,0.3973,0.097
9c,Ks,8d,Ts,5c,4h,5s,0.5825,0.3564
7c,Ac,2c,Ks,4s,2h,3h,0.6081,0.4269
Ks,Kd,5c,Ah,Qd,3s,5s,0.8247,0.767
Kc,4d,6s,Kd,5s,Qc,Ah,0.5173,0.7571
4s,Th,4d,Qd,Kd,Qc,2h,0.4262,0.648
7s,Ac,9s,6c,2s,6s,Jd,0.5829,0.4291
3d,4d,Js,7d,Td,8d,3s,0.3857,0.9718
8h,6s,Jh,5d,Qd,7s,5s,0.4365,0.1072
Js,2d,4h,5c,8d,Ts,6h,0.4474,0.0364
Ah,4d,2d,Ts,6c,7d,7c,0.5639,0.4224
3h,7c,9d,Qs,Td,3d,Ks,0.3682,0.3283
6c,5c,8c,Qs,6s,2d,Ts,0.44,0.4872
Ks,Kc,7d,3h,5h,Qs,Jh,0.8237,0.8352
8c,7d,3d,Ts,9c,Jc,4s,0.4556,0.967
7d,9d,8c,Ks,4c,6h,7s,0.4852,0.4988
8s,3h,6c,5d,Th,7d,2s,0.3786,0.0046
8h,6c,Qc,Jc,Ad,Kh,4h,0.4253,0.1769
Ah,5d,5c,Qc,3c,8s,Kd,0.5853,0.569
Ah,8d,Kc,4h,7s,7h,4s,0.5932,0.6163
Qs,Ts,2s,3s,2c,Ah,Qc,0.5994,0.7249
6d,7c,6c,3c,9h,Qs,3s,0.4241,0.5908
4s,Ah,3c,Jh,Jd,Ts,7c,0.5591,0.4312
3d,7c,As,Ts,8s,Tc,7d,0.3624,0.5399
Qd,As,6d,Kd,3s,Jh,Js,0.6502,0.5132
Jd,2h,5d,Ac,3h,7h,Qc,0.4353,0.1999
Ts,5d,Jc,Qh,7c,6c,2s,0.4477,0.152
7c,9d,3c,Th,Jc,Td,9h,0.4635,0.6702
8d,8c,3d,Jc,6s,Ad,Ac,0.693,0.7563
2h,6c,8h,6s,5d,6h,Ts,0.3395,0.9179
Kh,Td,2h,Ts,4h,4c,2d,0.5986,0.7924
8h,6c,Qd,7s,3d,Ah,Ac,0.4423,0.1074
Jc,6h,8s,Jd,5d,9s,4d,0.4839,0.7581
3c,5h,Qc,4d,8d,Jh,4s,0.3719,0.0685
Kh,3h,7s,Jc,Qh,Tc,9s,0.5443,0.9303
Th,2h,Ad,3s,4c,8d,8h,0.4439,0.1379
2c,As,Kh,Ts,7s,6h,9d,0.5534,0.2317
7h,3c,Th,Ts,Kc,2s,Jd,0.368,0.1085
5c,Ac,Kc,3h,2h,4h,Js,0.5888,0.9379
8d,Jd,As,5c,Kh,2c,6h,0.5296,0.2465
Js,2h,5c,9c,9d,As,Ts,0.4425,0.2576
8d,2d,Kc,As,8s,Td,9s,0.3975,0.4084
9d,Qs,7c,Ts,3d,Jc,Ah,0.5482,0.2758
2s,Qs,8c,4d,5c,9d,9h,0.4959,0.2173
8c,Td,Qd,2h,4d,8d,7s,0.5073,0.7073
Kc,8h,8d,3s,4h,9h,Th,0.5571,0.6108
4d,8c,7s,5s,5c,7h,2h,0.3923,0.1052
6d,As,Kc,Kd,3d,Jd,9c,0.5662,0.4246
4s,9c,Kh,Ac,Ts,4h,3d,0.4123,0.5115
6h,Td,6c,Jc,Js,4c,5s,0.4599,0.7534
9s,Kc,9c,7d,3d,As,Kh,0.5788,0.9585
Kc,6h,7d,2d,5h,Kd,5c,0.5439,0.795
2h,2c,2s,Js,6h,7d,Qs,0.5104,0.9435
5h,8h,Js,5c,3h,2c,2d,0.44,0.6551
Qc,5d,4h,Jc,Jd,Ah,2d,0.498,0.322
Jc,4c,Kd,3c,6h,7h,9h,0.4946,0.111
2s,3c,Jc,4h,Kd,Ts,Ks,0.3265,0.0038
8s,Ks,2h,Ts,7c,3d,6h,0.5817,0.2218
4s,7h,6c,Qd,6h,Ks,Jd,0.3824,0.1892
7d,9s,2d,8d,3s,Jd,Kd,0.4661,0.8323
3c,6d,Tc,Kh,5h,Ts,5s,0.3623,0.2686
Tc,8h,2c,Kd,3d,Th,5d,0.4979,0.6876
Jh,7d,Jd,3s,7s,5h,Qs,0.4956,0.8971
2h,2s,9s,8d,8c,3h,Tc,0.5088,0.4709
8c,7h,9s,9c,7s,5d,4d,0.4592,0.7954
Js,Qc,Qs,5s,2h,8s,5h,0.5786,0.835
4h,3c,Ah,Kc,5s,4c,Ks,0.3527,0.5756
Qc,As,Th,Ad,Jd,6d,Ah,0.6438,0.9144
2s,3c,Kc,Qd,7s,4c,4s,0.3245,0.0365
2s,2h,4s,3h,5d,6h,7s,0.5028,0.4145
9d,Td,4s,5d,Jd,7s,Kd,0.5556,0.9856
2c,8s,Qc,4h,8h,4s,Js,0.3739,0.5848
7c,Kd,Qd,Th,Js,Kh,9c,0.5577,0.414
6d,4h,3h,Ad,Qh,Ah,4c,0.3825,0.6446
3c,Ac,4h,As,6c,9s,4d,0.5756,0.8419
Ac,6h,Ah,4c,2d,2h,8s,0.5776,0.8226
4d,8s,2h,6h,Ts,Qh,2c,0.3933,0.1011
8h,6d,Qs,Jh,2h,3d,4s,0.4271,0.0457
5c,Jd,6s,2c,Kd,4d,6d,0.4685,0.2114
9c,2h,Ac,8h,Qs,9d,Kc,0.3849,0.5677
7s,8s,Js,5h,Ac,3c,Ad,0.4795,0.1133
5d,5h,6s,4h,2c,6h,Jd,0.602,0.7372
Th,Td,Qd,Kh,6c,9c,2c,0.7477,0.6602
Td,2d,Qs,4h,Jc,Ac,6d,0.4439,0.2324
8c,4h,7h,2s,7s,7c,Ah,0.389,0.11
Ks,2s,3s,Js,2c,3d,3c,0.5262,0.7239
9d,4c,Ac,Jc,7c,Ah,7s,0.4084,0.196
2d,Ac,Kh,2h,Td,Th,8s,0.5466,0.5854
2c,Tc,3h,8h,5h,Js,Ad,0.4567,0.1368
4h,Ah,Jc,Jh,Td,8s,8h,0.5871,0.6012
9h,Jh,Qc,As,7s,3c,9s,0.548,0.6514
6c,Ts,Ks,Jh,9s,5c,Kc,0.4553,0.2609
3c,4d,9s,Kh,Qh,5c,Ah,0.3602,0.0149
6s,8s,9h,3d,5h,2d,Ks,0.4551,0.0416
8d,2h,Qc,4c,Ac,As,Jd,0.3677,0.1615
Js,Ts,Th,2d,Kh,8s,Ks,0.5664,0.872
2h,9c,7c,9d,Tc,6h,Qh,0.3885,0.5022
5d,Qc,Js,6h,7c,Th,Ac,0.4935,0.2276
4s,5d,2s,Qd,Qc,Jd,8h,0.3816,0.0221
Ad,As,2h,8c,Th,Jc,Kd,0.8503,0.8585
3s,7s,7h,8d,9h,6d,Jc,0.3998,0.3163
9c,Qd,Ac,2h,Td,5h,4c,0.555,0.183
Ks,6h,2h,Td,2d,4d,2c,0.5361,0.4266
8h,Tc,3s,Kh,Kc,Qs,Th,0.4986,0.703
9h,Js,Jh,8c,Kc,Ts,6s,0.5362,0.7367
Qc,2d,Qd,Ts,Jh,4h,9s,0.4706,0.5392
4h,3s,Kd,As,2s,9s,4d,0.3433,0.5047
4h,Js,9c,7c,Qc,Qs,7h,0.4567,0.3571
6s,6h,Ts,Qc,Kc,Kh,Qh,0.634,0.2663
Jd,9c,9h,Ac,8c,4c,8s,0.5384,0.6864
9s,6c,2c,7c,5d,Jh,3c,0.4389,0.0417
3d,Ad,Kd,5c,Ts,3s,Jc,0.5823,0.4668
7c,3h,Ac,8c,5h,7s,8h,0.3736,0.6816
Js,7d,5s,4c,2d,7c,Kd,0.4906,0.7086
7s,Jc,6d,4d,6s,6c,7h,0.4896,0.8762
Ad,Th,6s,Td,6c,6h,Js,0.6241,0.7768
3d,6d,4h,9c,Kd,6c,7d,0.3871,0.5037
Ad,4h,9d,As,4d,3h,7c,0.5668,0.9433
Jd,6c,5d,7s,2s,9h,6s,0.4726,0.4769
8h,2c,Ts,Ks,Jd,Qh,8c,0.3652,0.2703
Qs,2d,Kh,Js,Kc,Tc,7s,0.4746,0.3361
7h,7s,Kd,2h,9h,3h,2d,0.6697,0.604
Tc,8c,6c,5s,4d,6d,Kd,0.5196,0.1307
7h,7d,8d,Kc,Jc,9d,5d,0.6632,0.4646
Kc,9s,4c,9c,8h,3d,4h,0.5776,0.862
Th,9c,Qh,4c,3c,8h,3h,0.5222,0.1873
Qh,Js,Th,7s,Qc,8c,6c,0.5881,0.6545
9s,7h,Td,Ks,7s,Jd,9h,0.4628,0.6047
9h,4s,6d,7d,Jh,7c,Ts,0.4117,0.1709
Kd,Th,5d,Kh,Ac,4c,9s,0.5988,0.7835
9c,Ad,Th,9d,Jd,5s,3s,0.6088,0.6513
5h,9s,4s,7c,7s,3h,6s,0.4298,0.8727
4d,2d,As,8h,Th,9c,6d,0.369,0.0363
2c,Jh,Jc,9c,3c,9h,2d,0.4383,0.7841
2s,3h,3d,6s,3s,Th,9c,0.3218,0.9355
6d,8d,5h,Th,Ah,4h,2h,0.4706,0.3337
4d,7d,9h,2c,2d,Tc,4c,0.4151,0.5335
Js,9s,Jc,6h,Qs,7s,Qc,0.5552,0.8671
Kh,8d,7h,8s,3d,5h,Ah,0.5603,0.7038
3h,Ah,6s,3s,4h,Qs,7c,0.5768,0.3592
4h,Kh,Qd,Jc,7h,3d,Ah,0.5504,0.3389
7h,Ac,Qd,9c,Jh,4c,8c,0.5828,0.2375
As,6h,Ah,6c,Jd,Kh,8h,0.5847,0.9129
4s,Th,Ad,7s,8s,4c,7c,0.4486,0.59
8s,9s,Td,7s,Qd,As,4s,0.5046,0.976
Qc,6s,2s,Ks,9h,Th,4c,0.5091,0.2504
8h,2c,5c,Kh,Td,8s,Qh,0.3677,0.5342
Ah,4s,3c,5h,6c,2s,9d,0.5789,0.9117
Qh,4c,Th,3d,Ad,7c,5h,0.495,0.2086
8c,6h,9h,4d,7c,9s,5d,0.4361,0.9661
4d,4s,Ac,4c,Jh,Ks,9h,0.5736,0.971
8h,Jc,Qc,Ah,Tc,Kh,6s,0.5142,0.9341
5d,Ah,Th,Tc,2d,Ac,Kh,0.5753,0.8404
Ad,4s,Tc,Ts,2d,8h,Jd,0.5701,0.418
6s,7c,As,9c,8s,Th,5c,0.4236,0.966
Qs,Qd,8h,2d,Th,8s,7d,0.8007,0.8565
Jd,Ac,As,6d,9s,2h,9h,0.6453,0.8857
Qh,7h,4c,3s,Jh,8d,4d,0.5366,0.2387
Th,2d,8h,9c,Kc,5h,Tc,0.4229,0.6611
As,9s,6c,Qs,5d,9c,4c,0.6277,0.7137
5s,3c,2h,7c,Th,Tc,Kh,0.3643,0.0214
4h,4s,Ks,Jh,2s,9c,8c,0.5732,0.4646
Qd,Ac,Jh,2h,9c,8d,Js,0.646,0.4763
5c,4s,Qs,2s,3d,Jc,8h,0.3801,0.0046
Kh,Jh,Ks,4s,7s,Jd,2h,0.6277,0.9385
5h,Ac,9h,3d,8s,8h,3h,0.5718,0.5677
3c,4s,Jh,4h,Ah,Ac,Th,0.352,0.3146
