0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
4,0,1,0,0,2,0,1,0,0,6,0,1,0,0,11,0,0,1,0,4,1,0,0,0,7,0,1,0,0,8,0,0,1,0,0.3715,0.3095
11,0,0,1,0,7,0,0,1,0,14,0,0,0,1,10,1,0,0,0,5,0,0,1,0,4,0,1,0,0,2,0,0,1,0,0.511,0.11
14,0,1,0,0,5,1,0,0,0,4,0,0,0,1,6,0,0,1,0,11,0,1,0,0,8,0,0,0,1,8,1,0,0,0,0.595,0.435
7,0,0,1,0,2,1,0,0,0,7,0,0,0,1,4,1,0,0,0,2,0,0,1,0,12,1,0,0,0,10,1,0,0,0,0.358,0.8975
2,0,0,1,0,8,1,0,0,0,7,0,0,1,0,4,1,0,0,0,12,0,0,0,1,14,1,0,0,0,11,0,0,0,1,0.3585,0.1
7,0,0,1,0,12,0,1,0,0,7,1,0,0,0,8,0,0,1,0,6,1,0,0,0,3,0,0,0,1,9,1,0,0,0,0.5195,0.363
2,0,0,0,1,11,0,0,0,1,13,1,0,0,0,14,0,1,0,0,10,0,1,0,0,11,1,0,0,0,7,0,0,1,0,0.4785,0.5195
12,1,0,0,0,8,0,1,0,0,7,1,0,0,0,13,0,0,0,1,5,0,0,0,1,11,0,1,0,0,4,1,0,0,0,0.532,0.2325
9,0,0,0,1,2,0,1,0,0,2,0,0,0,1,11,0,1,0,0,3,0,1,0,0,14,0,0,0,1,11,1,0,0,0,0.39,0.5725
9,0,0,1,0,5,0,0,0,1,6,1,0,0,0,6,0,0,1,0,11,0,0,0,1,7,0,0,0,1,14,0,0,1,0,0.419,0.1685
4,0,0,1,0,11,0,0,0,1,8,1,0,0,0,9,1,0,0,0,5,0,1,0,0,3,1,0,0,0,11,0,0,1,0,0.441,0.777
10,0,1,0,0,6,0,0,1,0,10,1,0,0,0,12,0,1,0,0,2,0,0,0,1,8,0,0,0,1,8,0,0,1,0,0.4475,0.6765
11,0,1,0,0,10,0,1,0,0,2,0,1,0,0,4,1,0,0,0,13,0,0,1,0,2,1,0,0,0,11,0,0,0,1,0.579,0.725
9,0,0,1,0,4,0,0,1,0,5,0,0,1,0,6,0,1,0,0,13,0,1,0,0,6,0,0,0,1,10,0,0,1,0,0.447,0.159
8,1,0,0,0,14,0,0,1,0,14,0,1,0,0,7,1,0,0,0,11,0,0,1,0,5,1,0,0,0,10,1,0,0,0,0.5995,0.816
13,0,0,1,0,12,0,0,1,0,9,1,0,0,0,13,1,0,0,0,7,0,0,1,0,5,0,1,0,0,11,0,1,0,0,0.6215,0.847
11,1,0,0,0,5,0,1,0,0,6,0,0,1,0,4,1,0,0,0,7,0,1,0,0,6,0,0,0,1,6,0,1,0,0,0.471,0.2035
13,1,0,0,0,3,1,0,0,0,12,1,0,0,0,8,0,1,0,0,2,0,0,1,0,9,0,0,1,0,10,0,0,1,0,0.5525,0.138
2,0,0,1,0,3,1,0,0,0,7,0,1,0,0,11,0,1,0,0,2,0,0,0,1,8,0,1,0,0,14,1,0,0,0,0.3295,0.4165
3,0,0,0,1,3,0,0,1,0,5,0,0,1,0,11,0,0,0,1,12,0,0,0,1,8,0,0,1,0,9,1,0,0,0,0.5555,0.281
3,0,0,0,1,14,0,1,0,0,13,0,0,0,1,5,0,1,0,0,5,0,0,0,1,10,0,1,0,0,6,1,0,0,0,0.532,0.461
12,0,0,0,1,8,0,0,0,1,6,0,0,1,0,3,0,0,0,1,8,0,1,0,0,11,0,0,1,0,7,0,0,0,1,0.5405,0.7275
12,0,0,0,1,10,0,0,1,0,10,0,1,0,0,2,1,0,0,0,2,0,1,0,0,8,0,1,0,0,7,0,1,0,0,0.581,0.502
11,0,1,0,0,12,1,0,0,0,4,0,1,0,0,10,0,0,0,1,10,0,0,1,0,10,1,0,0,0,14,0,0,0,1,0.571,0.463
5,0,0,0,1,3,1,0,0,0,6,0,0,1,0,11,1,0,0,0,6,1,0,0,0,6,0,0,0,1,4,0,0,0,1,0.3575,0.0295
5,0,0,0,1,13,0,1,0,0,12,0,1,0,0,8,0,0,1,0,12,0,0,1,0,4,0,0,1,0,11,1,0,0,0,0.5615,0.327
13,0,0,1,0,12,0,0,1,0,9,0,0,0,1,8,0,0,0,1,4,0,0,1,0,8,0,1,0,0,8,1,0,0,0,0.629,0.505
6,0,0,0,1,3,0,0,0,1,10,0,0,1,0,7,0,1,0,0,5,1,0,0,0,13,1,0,0,0,6,0,0,1,0,0.396,0.5025
12,0,0,0,1,14,0,0,1,0,13,0,0,0,1,11,0,0,0,1,4,1,0,0,0,6,0,1,0,0,4,0,0,0,1,0.648,0.461
11,0,1,0,0,10,0,1,0,0,11,0,0,0,1,9,1,0,0,0,3,1,0,0,0,6,0,0,1,0,5,1,0,0,0,0.5635,0.7925
8,0,1,0,0,6,0,0,1,0,6,0,1,0,0,7,0,0,1,0,2,0,0,0,1,3,0,0,1,0,8,0,0,1,0,0.419,0.898
14,0,0,1,0,3,1,0,0,0,7,0,0,0,1,13,0,0,0,1,11,0,0,1,0,10,0,0,1,0,12,0,0,1,0,0.563,0.8905
14,1,0,0,0,7,0,0,1,0,12,0,1,0,0,10,0,0,0,1,6,0,0,0,1,5,0,1,0,0,14,0,0,0,1,0.6,0.8025
8,0,0,0,1,8,0,0,1,0,12,0,1,0,0,5,0,0,0,1,7,0,0,0,1,13,0,0,0,1,13,0,0,1,0,0.6905,0.726
6,0,1,0,0,3,0,0,1,0,6,0,0,0,1,11,0,0,1,0,2,0,1,0,0,14,0,1,0,0,11,0,1,0,0,0.3885,0.674
6,1,0,0,0,10,0,1,0,0,8,0,1,0,0,14,1,0,0,0,4,1,0,0,0,12,0,1,0,0,13,0,1,0,0,0.469,0.2365
10,0,0,1,0,7,0,0,1,0,10,1,0,0,0,14,1,0,0,0,4,1,0,0,0,11,0,0,0,1,4,0,1,0,0,0.4985,0.5795
8,1,0,0,0,12,0,1,0,0,13,0,0,0,1,9,1,0,0,0,9,0,1,0,0,6,0,1,0,0,5,0,1,0,0,0.519,0.35
4,0,0,1,0,7,0,0,0,1,8,1,0,0,0,5,0,1,0,0,4,0,1,0,0,7,1,0,0,0,2,1,0,0,0,0.3805,0.707
6,1,0,0,0,14,1,0,0,0,4,1,0,0,0,13,0,1,0,0,8,0,0,0,1,5,0,1,0,0,12,0,0,0,1,0.601,0.364
2,0,1,0,0,11,0,0,1,0,7,0,0,1,0,5,1,0,0,0,8,0,0,1,0,13,0,0,1,0,14,0,1,0,0,0.448,0.193
10,0,0,0,1,13,0,1,0,0,4,0,0,1,0,12,0,0,1,0,4,0,0,0,1,14,0,1,0,0,7,1,0,0,0,0.5885,0.487
6,0,1,0,0,7,0,0,1,0,5,0,1,0,0,2,1,0,0,0,10,0,1,0,0,12,1,0,0,0,12,0,0,1,0,0.4095,0.056
8,1,0,0,0,9,0,1,0,0,13,0,0,1,0,3,0,1,0,0,10,1,0,0,0,14,0,0,0,1,7,0,0,0,1,0.475,0.2
11,0,0,1,0,10,0,0,1,0,6,1,0,0,0,7,1,0,0,0,3,0,0,1,0,14,0,0,1,0,2,1,0,0,0,0.566,0.174
3,0,0,0,1,8,1,0,0,0,14,0,0,0,1,4,0,1,0,0,6,0,0,0,1,4,0,0,0,1,9,1,0,0,0,0.384,0.116
14,0,1,0,0,6,1,0,0,0,10,0,0,1,0,3,0,0,1,0,5,0,0,1,0,7,1,0,0,0,5,1,0,0,0,0.574,0.403
5,1,0,0,0,5,0,0,0,1,5,0,0,1,0,8,0,0,1,0,3,0,0,1,0,2,1,0,0,0,11,0,0,1,0,0.5915,0.614
